Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),400,INSIDE,19.184300861766353,72.96783350763376,0.027135,0.002785,0.001477,0.031397
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.1869296457717,72.95252936616494,0.020478,0.002774,0.001466,0.024719
T3 (Scaled ×2.0),400,OUTSIDE,19.19657305814666,72.93998073683969,0.029231,0.002768,0.001494,0.033493
T3 (Scaled ×2.0),400,INSIDE,19.18088899146369,72.93153923218948,0.032855,0.002786,0.001574,0.037216
T3 (Scaled ×2.0),400,INSIDE,19.16393835465272,72.95610406040623,0.031837,0.002781,0.001503,0.036121
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.187004116366243,72.9599910902577,0.029957,0.002818,0.001523,0.034299
T3 (Scaled ×2.0),400,OUTSIDE,19.16362287530439,73.00115025538469,0.03233,0.002875,0.001539,0.036745
T3 (Scaled ×2.0),400,OUTSIDE,19.1965109599928,72.98657881691166,0.029309,0.002863,0.001494,0.033667
T3 (Scaled ×2.0),400,INSIDE,19.166153449716223,72.95777030434444,0.027485,0.002791,0.001494,0.03177
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.155016446244144,72.94288501556413,0.033084,0.00276,0.001467,0.037312
T3 (Scaled ×2.0),400,OUTSIDE,19.194626825657444,72.9759212949064,0.0286,0.00279,0.001487,0.032878
T3 (Scaled ×2.0),400,INSIDE,19.181843566864007,72.98122714738993,0.032976,0.002901,0.001581,0.037459
T3 (Scaled ×2.0),400,OUTSIDE,19.1742819771163,72.92778157892675,0.026806,0.002799,0.001479,0.031084
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.168604936024682,72.93632229347708,0.029602,0.002789,0.001508,0.0339
T3 (Scaled ×2.0),400,INSIDE,19.181385123350957,72.94167158447678,0.030969,0.00276,0.001476,0.035205
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.18714845025626,72.97494542506959,0.034504,0.002871,0.001507,0.038883
T3 (Scaled ×2.0),400,OUTSIDE,19.17200369579141,72.9268801741926,0.033012,0.002816,0.001473,0.037302
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.18276015443888,72.92949681221455,0.032595,0.002785,0.001467,0.036848
T3 (Scaled ×2.0),400,ON_BOUNDARY,19.151282961172644,72.94468252763617,0.031338,0.002867,0.001555,0.035761
