Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T1 (Default),100,INSIDE,19.17873117209006,72.95635721114974,0.031182,0.002903,0.001445,0.035532
T1 (Default),100,INSIDE,19.167168389790795,72.95503667217683,0.022709,0.002811,0.001528,0.027049
T1 (Default),100,INSIDE,19.17462738378542,72.96149051496641,0.029721,0.002763,0.001461,0.033946
T1 (Default),100,OUTSIDE,19.190458281704448,72.93426994870363,0.032391,0.002811,0.001468,0.036671
T1 (Default),100,ON_BOUNDARY,19.16946546779253,72.95998911810152,0.030348,0.002884,0.001428,0.03466
T1 (Default),100,ON_BOUNDARY,19.180519395743712,72.94234967691497,0.025531,0.002808,0.001484,0.029823
T1 (Default),100,INSIDE,19.172910365917673,72.94617920396972,0.028924,0.002757,0.001458,0.03314
T1 (Default),100,ON_BOUNDARY,19.180513706314965,72.94225064689208,0.031193,0.002833,0.001471,0.035498
T1 (Default),100,INSIDE,19.170356348080055,72.96037980114858,0.028135,0.002803,0.001482,0.03242
T1 (Default),100,INSIDE,19.178379025653594,72.9616563237024,0.029123,0.002796,0.001473,0.033392
T1 (Default),100,ON_BOUNDARY,19.180766464114495,72.96612155667606,0.027582,0.002801,0.00143,0.031813
T1 (Default),100,OUTSIDE,19.17205233947532,72.96844867267404,0.022182,0.002823,0.00149,0.026495
T1 (Default),100,INSIDE,19.173419478078223,72.94937440565332,0.032267,0.002834,0.001606,0.036708
T1 (Default),100,INSIDE,19.170564188489564,72.96066421799881,0.033113,0.002815,0.001463,0.037391
T1 (Default),100,OUTSIDE,19.165968670050596,72.95753582515457,0.030669,0.002825,0.001455,0.03495
T1 (Default),100,OUTSIDE,19.158186558885323,72.97390128314126,0.029057,0.00277,0.001416,0.033243
T1 (Default),100,INSIDE,19.180100946284007,72.94947005960059,0.026717,0.002782,0.001464,0.030963
T1 (Default),100,INSIDE,19.180762715624365,72.96734815970494,0.030339,0.002808,0.001441,0.034588
T1 (Default),100,INSIDE,19.169419309655453,72.95659174651176,0.030856,0.002846,0.001466,0.035169
T1 (Default),100,INSIDE,19.177951296990887,72.94549305887364,0.030601,0.002781,0.001472,0.034854
T1 (Default),100,OUTSIDE,19.156660930280836,72.94561774677524,0.030595,0.00282,0.00143,0.034846
T1 (Default),100,INSIDE,19.17500686951118,72.96260778220098,0.03147,0.002867,0.001463,0.035801
T1 (Default),100,INSIDE,19.167570942757564,72.94988198402558,0.033145,0.00282,0.001459,0.037425
T1 (Default),100,OUTSIDE,19.161311829231924,72.94588546653755,0.034412,0.002809,0.001456,0.038677
T1 (Default),100,INSIDE,19.17918347728245,72.96100672644415,0.022722,0.002816,0.001466,0.027005
T1 (Default),100,OUTSIDE,19.153634608798285,72.93612536457314,0.032182,0.002802,0.001487,0.036471
T1 (Default),100,OUTSIDE,19.18203978542694,72.95368829598635,0.030849,0.002861,0.001459,0.03517
T1 (Default),100,OUTSIDE,19.177373670831894,72.97662194137119,0.031231,0.002819,0.001478,0.035528
T1 (Default),100,ON_BOUNDARY,19.180168522519402,72.97301507455786,0.031294,0.002793,0.001456,0.035544
T1 (Default),100,INSIDE,19.166471179817325,72.9521547899873,0.031281,0.002869,0.00149,0.03564
T1 (Default),100,ON_BOUNDARY,19.16550707791141,72.95514684121372,0.016752,0.002808,0.001502,0.021063
T1 (Default),100,ON_BOUNDARY,19.165419652195194,72.95505450839434,0.022544,0.002818,0.001453,0.026815
T1 (Default),100,INSIDE,19.17006165319932,72.95403776440851,0.026712,0.00286,0.001463,0.031036
T1 (Default),100,ON_BOUNDARY,19.16176364850603,72.95057431813026,0.030937,0.002845,0.001423,0.035206
T1 (Default),100,INSIDE,19.17391108741606,72.94954668968151,0.031348,0.002871,0.001475,0.035694
T1 (Default),100,INSIDE,19.180584914278292,72.95176441828352,0.027851,0.004413,0.001508,0.033772
T1 (Default),100,OUTSIDE,19.162209760105952,72.97688952882328,0.031874,0.002764,0.001479,0.036118
T1 (Default),100,ON_BOUNDARY,19.167999392971232,72.94746015746782,0.032426,0.002847,0.00146,0.036734
T1 (Default),100,INSIDE,19.17440477220671,72.94966775870981,0.030227,0.002792,0.001454,0.034474
T1 (Default),100,ON_BOUNDARY,19.17073280129766,72.94615536190219,0.029887,0.002778,0.001463,0.034129
T1 (Default),100,OUTSIDE,19.162567921288023,72.96366728725086,0.030908,0.002875,0.001471,0.035255
T1 (Default),100,OUTSIDE,19.177556576636636,72.93784811459457,0.031907,0.002838,0.001416,0.036161
T1 (Default),100,INSIDE,19.172865250324318,72.96392030612613,0.032754,0.002831,0.001456,0.037041
T1 (Default),100,INSIDE,19.17515776340047,72.96226270316771,0.031866,0.002793,0.0015,0.03616
T1 (Default),100,OUTSIDE,19.185270765212,72.96906308858455,0.032397,0.002858,0.001471,0.036727
T1 (Default),100,ON_BOUNDARY,19.18065089573114,72.95550706270926,0.030884,0.00276,0.00146,0.035104
T1 (Default),100,ON_BOUNDARY,19.18052991358486,72.94254692793716,0.0279,0.002826,0.001536,0.032262
T1 (Default),100,ON_BOUNDARY,19.163264843192227,72.95242848150903,0.017169,0.002823,0.001415,0.021407
T1 (Default),100,OUTSIDE,19.171041405964786,72.9795396587234,0.031171,0.002826,0.001458,0.035456
T1 (Default),100,ON_BOUNDARY,19.168712968839287,72.94711791913528,0.029608,0.002854,0.001462,0.033925
T1 (Default),100,INSIDE,19.177456154841945,72.95273726023657,0.030376,0.002829,0.001466,0.034672
T1 (Default),100,OUTSIDE,19.18671825755561,72.97233741420831,0.030215,0.002857,0.00148,0.034553
T1 (Default),100,OUTSIDE,19.171781547146786,72.93148377558741,0.026768,0.002783,0.001454,0.031005
T1 (Default),100,OUTSIDE,19.17361298860602,72.97247292423691,0.035063,0.002813,0.001489,0.039366
T1 (Default),100,ON_BOUNDARY,19.18054456939978,72.94411555830678,0.03055,0.002827,0.001463,0.03484
T1 (Default),100,ON_BOUNDARY,19.180544115543576,72.94548746959613,0.029992,0.002826,0.001464,0.034282
T1 (Default),100,ON_BOUNDARY,19.180539586410067,72.94346444851281,0.023736,0.002823,0.001481,0.028041
T1 (Default),100,INSIDE,19.165173177505153,72.95081962560785,0.03127,0.002812,0.001468,0.03555
T1 (Default),100,INSIDE,19.16714396081969,72.95175037231117,0.030936,0.002801,0.001467,0.035205
T1 (Default),100,INSIDE,19.180335997452215,72.96608484206084,0.031018,0.002745,0.001503,0.035267
T1 (Default),100,ON_BOUNDARY,19.180615594330114,72.9516558045665,0.029403,0.002802,0.00148,0.033685
T1 (Default),100,INSIDE,19.176862059328485,72.95046262784413,0.030333,0.002823,0.001462,0.034619
T1 (Default),100,INSIDE,19.180628690472783,72.96713633238082,0.026429,0.002732,0.001425,0.030587
T1 (Default),100,OUTSIDE,19.168927382378243,72.96555871284504,0.026799,0.002782,0.001476,0.031058
T1 (Default),100,ON_BOUNDARY,19.180625443355652,72.95258649489486,0.025427,0.002807,0.001484,0.029719
T1 (Default),100,INSIDE,19.171089933578973,72.96157901532364,0.025874,0.002814,0.001504,0.030192
T1 (Default),100,INSIDE,19.177915048491947,72.95384578565469,0.029619,0.002885,0.001499,0.034004
T1 (Default),100,ON_BOUNDARY,19.180574360303265,72.94775255454618,0.026451,0.002914,0.001489,0.030855
T1 (Default),100,ON_BOUNDARY,19.17231480356631,72.96344912583808,0.028743,0.002984,0.001507,0.033234
T1 (Default),100,ON_BOUNDARY,19.174563276801443,72.96620351044804,0.030497,0.00285,0.001471,0.034818
T1 (Default),100,ON_BOUNDARY,19.16217667392337,72.95110360129172,0.03055,0.002844,0.001502,0.034897
T1 (Default),100,ON_BOUNDARY,19.18070429300983,72.96001136804877,0.031855,0.002868,0.001493,0.036217
T1 (Default),100,OUTSIDE,19.173476150066357,72.98015990603375,0.033601,0.002779,0.0015,0.03788
T1 (Default),100,ON_BOUNDARY,19.180534946586242,72.94397471250997,0.029446,0.002834,0.001487,0.033768
T1 (Default),100,ON_BOUNDARY,19.16812196545731,72.94740620430379,0.026395,0.002817,0.001453,0.030665
T1 (Default),100,OUTSIDE,19.18711159174241,72.94725895133652,0.030609,0.002796,0.001462,0.034868
T1 (Default),100,INSIDE,19.1682965781312,72.95152518409105,0.031577,0.00282,0.001461,0.035859
T1 (Default),100,ON_BOUNDARY,19.168208631048117,72.94736886312712,0.032332,0.002792,0.001465,0.036589
T1 (Default),100,OUTSIDE,19.17301562469284,72.97218382504225,0.029017,0.002811,0.001456,0.033285
T1 (Default),100,INSIDE,19.176127469756214,72.95969487312937,0.029375,0.002762,0.001461,0.033598
T1 (Default),100,ON_BOUNDARY,19.172122396923964,72.9632279260851,0.030304,0.002873,0.001468,0.034647
T1 (Default),100,ON_BOUNDARY,19.163787234350604,72.95305850587143,0.028581,0.002827,0.00146,0.032869
