Triangle,Class,Latitude,Longitude,GT_w1,GT_w2,GT_w3,CKKS_w1,CKKS_w2,CKKS_w3,Δw1,Δw2,Δw3,GT_Class,CKKS_Class
T1 (Default),OUTSIDE,19.18685141514051,72.94105471598048,1.2532173272,0.0824658942,-0.3356832214,1.2532174953,0.0824659053,-0.3356832665,0.0000001681,0.0000000111,0.0000000451,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.169201725951993,72.93910799798789,0.6419054696,-0.2388984290,0.5969929594,0.6419055557,-0.2388984610,0.5969930395,0.0000000861,0.0000000320,0.0000000801,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.169163882262087,72.97963712775673,-0.6257639860,1.0049374524,0.6208265336,-0.6257640699,1.0049375871,0.6208266169,0.0000000839,0.0000001347,0.0000000833,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.18299560138078,72.93205871832257,1.3874377564,-0.2508935641,-0.1365441923,1.3874379424,-0.2508935977,-0.1365442106,0.0000001860,0.0000000336,0.0000000183,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.167642316191642,72.97433828633555,-0.5181593147,0.8196913741,0.6984679406,-0.5181593842,0.8196914841,0.6984680342,0.0000000695,0.0000001100,0.0000000936,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.167151251702638,72.96219762796999,-0.1575563284,0.4396492288,0.7179070996,-0.1575563495,0.4396492878,0.7179071958,0.0000000211,0.0000000590,0.0000000962,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.15716643528283,72.96221261438974,-0.5382643874,0.2921206066,1.2461437808,-0.5382644596,0.2921206458,1.2461439479,0.0000000722,0.0000000392,0.0000001671,OUTSIDE,OUTSIDE
T1 (Default),OUTSIDE,19.184870060986093,72.93174890496297,1.4684998850,-0.2326239212,-0.2358759639,1.4685000820,-0.2326239524,-0.2358759955,0.0000001970,0.0000000312,0.0000000316,OUTSIDE,OUTSIDE
T2 (Scaled ×1.5),INSIDE,19.181284297859413,72.96266030766849,0.3552446878,0.5533287703,0.0914265420,0.3552447354,0.5533288445,0.0914265542,0.0000000476,0.0000000742,0.0000000122,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.17281954445224,72.95710522883235,0.2560453763,0.3559813361,0.3879732876,0.2560454106,0.3559813839,0.3879733396,0.0000000343,0.0000000478,0.0000000520,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.179110631104553,72.94482846775209,0.6714665314,0.1668478900,0.1616855786,0.6714666214,0.1668479124,0.1616856003,0.0000000900,0.0000000224,0.0000000217,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.166560955612983,72.94955786993748,0.2543516599,0.1396525088,0.6059958313,0.2543516940,0.1396525275,0.6059959125,0.0000000341,0.0000000187,0.0000000812,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.183184771399084,72.96741694373705,0.3044211009,0.6694716140,0.0261072851,0.3044211417,0.6694717038,0.0261072886,0.0000000408,0.0000000898,0.0000000035,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.178476354899022,72.96616965056292,0.2108634058,0.5974170639,0.1917195303,0.2108634341,0.5974171440,0.1917195560,0.0000000283,0.0000000801,0.0000000257,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.158326753568065,72.94973968656154,0.0415158724,0.0620126516,0.8964714760,0.0415158780,0.0620126599,0.8964715962,0.0000000056,0.0000000083,0.0000001202,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.179417991304952,72.95915535900922,0.3808652016,0.4631445365,0.1559902619,0.3808652526,0.4631445986,0.1559902829,0.0000000510,0.0000000621,0.0000000210,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.17567452572109,72.95724651773733,0.3255844671,0.3870832456,0.2873322873,0.3255845108,0.3870832975,0.2873323258,0.0000000437,0.0000000519,0.0000000385,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.17572295811096,72.94483087741229,0.5854105373,0.1334238871,0.2811655755,0.5854106158,0.1334239050,0.2811656132,0.0000000785,0.0000000179,0.0000000377,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.168846868092345,72.95602410859547,0.1777054600,0.2945979986,0.5276965414,0.1777054838,0.2945980381,0.5276966122,0.0000000238,0.0000000395,0.0000000708,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.176312727612206,72.96715100788924,0.1354935269,0.5961260102,0.2683804630,0.1354935450,0.5961260901,0.2683804990,0.0000000181,0.0000000799,0.0000000360,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.181351974967257,72.96535695390817,0.3007963534,0.6091956063,0.0900080403,0.3007963937,0.6091956880,0.0900080524,0.0000000403,0.0000000817,0.0000000121,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.176598397676468,72.95440666092553,0.4081889516,0.3380824245,0.2537286239,0.4081890063,0.3380824699,0.2537286579,0.0000000547,0.0000000454,0.0000000340,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.181154284123597,72.95625888878008,0.4852744824,0.4210123512,0.0937131664,0.4852745475,0.4210124077,0.0937131790,0.0000000651,0.0000000565,0.0000000126,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.182455750094785,72.9736472005325,0.1561472480,0.7897964295,0.0540563224,0.1561472690,0.7897965354,0.0540563297,0.0000000210,0.0000001059,0.0000000073,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.181022251503226,72.94782357250622,0.6576156129,0.2470437821,0.0953406050,0.6576157011,0.2470438152,0.0953406177,0.0000000882,0.0000000331,0.0000000127,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.16597349325216,72.96104556536315,0.0001682657,0.3689914885,0.6308402458,0.0001682657,0.3689915380,0.6308403304,0.0000000000,0.0000000495,0.0000000846,ON_BOUNDARY,ON_BOUNDARY
T2 (Scaled ×1.5),INSIDE,19.177224181635818,72.9560445758955,0.3899613169,0.3777925141,0.2322461690,0.3899613692,0.3777925648,0.2322462002,0.0000000523,0.0000000507,0.0000000312,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.180693656512517,72.95512429874475,0.4972116908,0.3932368045,0.1095515047,0.4972117575,0.3932368572,0.1095515194,0.0000000667,0.0000000527,0.0000000147,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.176556056684692,72.95106577236994,0.4766989775,0.2692788239,0.2540221986,0.4766990414,0.2692788600,0.2540222327,0.0000000639,0.0000000361,0.0000000341,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.162900459808167,72.94649457819686,0.2252225730,0.0407803870,0.7339970400,0.2252226033,0.0407803924,0.7339971384,0.0000000303,0.0000000054,0.0000000984,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.16615198557734,72.95536930934215,0.1229264747,0.2545668789,0.6225066464,0.1229264912,0.2545669131,0.6225067299,0.0000000165,0.0000000342,0.0000000835,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.161617937843996,72.95405530825141,0.0351850428,0.1828697967,0.7819451606,0.0351850475,0.1828698212,0.7819452654,0.0000000047,0.0000000245,0.0000001048,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.17397567591329,72.94903134929571,0.4535621436,0.2021393254,0.3442985310,0.4535622044,0.2021393525,0.3442985772,0.0000000608,0.0000000271,0.0000000462,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.163062007714302,72.95337744371136,0.0859656571,0.1832632079,0.7307711350,0.0859656686,0.1832632325,0.7307712330,0.0000000115,0.0000000246,0.0000000980,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.16622306807073,72.9603678142103,0.0206208320,0.3575845104,0.6217946575,0.0206208348,0.3575845584,0.6217947409,0.0000000028,0.0000000480,0.0000000834,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.183901361457256,72.96743012306479,0.3223392941,0.6768219531,0.0008387528,0.3223393373,0.6768220439,0.0008387529,0.0000000432,0.0000000908,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T2 (Scaled ×1.5),INSIDE,19.178054530372734,72.9504636720591,0.5272827501,0.2717606262,0.2009566237,0.5272828208,0.2717606627,0.2009566506,0.0000000707,0.0000000365,0.0000000269,INSIDE,INSIDE
T2 (Scaled ×1.5),INSIDE,19.183333527297265,72.9407031764334,0.8645996118,0.1241326803,0.0112677079,0.8645997277,0.1241326969,0.0112677094,0.0000001159,0.0000000166,0.0000000015,INSIDE,INSIDE
